full_name,html_url,description,stargazers_count
"bookmarks-tools/bookmarks-parser","https://github.com/bookmarks-tools/bookmarks-parser",":bookmark: Parses Firefox/Chrome HTML bookmarks files",19
"PKSHATechnology-Research/tdmelodic","https://github.com/PKSHATechnology-Research/tdmelodic","A Japanese accent dictionary generator",40
"mrDIMAS/rg3d","https://github.com/mrDIMAS/rg3d","3d game engine written in Rust",1417
"mi-g/jocly","https://github.com/mi-g/jocly","Javascript library and tools to provide user interface (2D, 3D, VR) and engine for playing board games",38
"slatedocs/slate","https://github.com/slatedocs/slate","Beautiful static documentation for your API",31787
"kgtkr/block-checker","https://github.com/kgtkr/block-checker",,2
"Taraflex/Back2stackoverflow","https://github.com/Taraflex/Back2stackoverflow","Userscript for redirect to stackoverflow.com from machine-translated sites",196
"ornicar/chessground","https://github.com/ornicar/chessground","Mobile/Web chess UI for lichess.org",443
"trozler/myFourierEpicycles","https://github.com/trozler/myFourierEpicycles","An article thats lets the user draw their own fourier epicycle. The site also gives a brief explanation of the mathematics connecting fourier series and revolving epicycles.",27
"GlukKazan/GlukKazan.github.io","https://github.com/GlukKazan/GlukKazan.github.io","Dagaz Demo",9
"GlukKazan/Dagaz","https://github.com/GlukKazan/Dagaz",,32
"yaneurao/MyShogi","https://github.com/yaneurao/MyShogi","マイナビさんから発売した『将棋神やねうら王』(2018年発売)の将棋用GUIです。",58
"gunyarakun/python-shogi","https://github.com/gunyarakun/python-shogi","A pure Python shogi library with move generation and validation and handling of common formats.",126
"Ludeme/LudiiExampleAI","https://github.com/Ludeme/LudiiExampleAI","Project with examples for the implementation of third-party AI algorithms / agents for the Ludii general game system.",19
"snakajima/game-compiler","https://github.com/snakajima/game-compiler","Game 80 compiler, which I've created when I was 18 ('79)",16
"akicho8/shogi-player","https://github.com/akicho8/shogi-player","将棋の棋譜を再生したり盤面を編集したりします",25
"yaneurao/Ayane","https://github.com/yaneurao/Ayane","python Adaptor to YaneuraOu",22
"ymgaq/AQ","https://github.com/ymgaq/AQ","A Go game engine. Download here: http://github.com/ymgaq/AQ/releases",297
"ymgaq/Pyaq","https://github.com/ymgaq/Pyaq","PyaqはPythonのみで実装された囲碁プログラムです。深層学習を学ぶための教育目的のコードです。",108
"boardgameio/boardgame.io","https://github.com/boardgameio/boardgame.io","State Management for Turn-Based Games",8367
"ddugovic/Stockfish","https://github.com/ddugovic/Stockfish","Multi-variant fork of popular UCI chess engine",99
"ianfab/Fairy-Stockfish","https://github.com/ianfab/Fairy-Stockfish","chess variant engine supporting Xiangqi, Shogi, Janggi, Makruk, S-Chess, Crazyhouse, Bughouse, and many more",99
"j6k1/USIAgent","https://github.com/j6k1/USIAgent","USIプロトコルに対応した将棋AIを開発するためのフレームワーク",1
"makudenki/libshogi","https://github.com/makudenki/libshogi",,10
"Omega-Numworks/Omega","https://github.com/Omega-Numworks/Omega","Omega 1.20, the next evolution of Epsilon! Now available for your Numworks calculator!",94
"david-pfx/Polygamo","https://github.com/david-pfx/Polygamo","Polygamo is a language compiler and general player for abstract games and puzzles.",8
"mi-g/joclyboard","https://github.com/mi-g/joclyboard","Multiplatform 3D/2D desktop application for playing board games",29
"greymd/teip","https://github.com/greymd/teip","Select partial standard input and replace with the result of another command efficiently",263
"jw0k/serial2ti83","https://github.com/jw0k/serial2ti83","A program for Arduino Uno that makes it possible to connect a TI-83 calculator to a computer",26
"jwasham/coding-interview-university","https://github.com/jwasham/coding-interview-university","A complete computer science study plan to become a software engineer.",149867
"yaneurao/YaneuraOu","https://github.com/yaneurao/YaneuraOu","YaneuraOu is the World's Strongest Shogi engine(AI player) , WCSC29 1st winner , educational and USI compliant engine.",290
"na2hiro/Shogi.js","https://github.com/na2hiro/Shogi.js","A simple shogi library for JavaScript / TypeScript",38
"fulldecent/system-bus-radio","https://github.com/fulldecent/system-bus-radio","Transmits AM radio on computers without radio transmitting hardware.",5605
"na2hiro/json-kifu-format","https://github.com/na2hiro/json-kifu-format","JSON棋譜フォーマット(JKF)の定義とKIF, KI2, CSAからの変換ライブラリ",67
"chromedp/chromedp","https://github.com/chromedp/chromedp","A faster, simpler way to drive browsers supporting the Chrome DevTools Protocol.",5652
"postmanlabs/newman","https://github.com/postmanlabs/newman","Newman is a command-line collection runner for Postman",4915
"approvers/RADWIMPS","https://github.com/approvers/RADWIMPS","君の then-then-then 世は Promise で Future",219
"LumaKernel/dotfiles","https://github.com/LumaKernel/dotfiles","⭐ My own world.",6
"subhra74/xdm","https://github.com/subhra74/xdm","Powerfull download accelerator and video downloader",1912
"tanakh/easy-scraper","https://github.com/tanakh/easy-scraper","Easy scraping library",157
"fujitsu/A64FX","https://github.com/fujitsu/A64FX",,338
"gfngfn/SATySFi","https://github.com/gfngfn/SATySFi","A statically-typed, functional typesetting system",788
"Neutrino-1/esp-oled-firebase","https://github.com/Neutrino-1/esp-oled-firebase","0.91"" inch OLED and an esp8266-12E, which is integrated to firebase to fetch text file and send and receive a text message",79
"go-shiori/shiori","https://github.com/go-shiori/shiori","Simple bookmark manager built with Go",4636
"omegasisters/homepage","https://github.com/omegasisters/homepage","おめシスのホームページを作りたい",540
"yusukesaitoh/calm-twitter","https://github.com/yusukesaitoh/calm-twitter","This extension hides trending information from twitter timelines to make your mind calm.",77
"eramdam/BetterTweetDeck","https://github.com/eramdam/BetterTweetDeck","A browser extension to improve TweetDeck with a lot of features",524
"FujiMakoto/twitter-saucenao","https://github.com/FujiMakoto/twitter-saucenao","A Twitter bot that utilizes the SauceNao API to find the source of images or anime screencaps",143
"ceceradio/twitter-block-chain","https://github.com/ceceradio/twitter-block-chain","Chrome extension to block all users on a followers/following page.",180
"IndieVisualLab/UnityGraphicsProgrammingSeries","https://github.com/IndieVisualLab/UnityGraphicsProgrammingSeries","書籍「Unity Graphics Programming」シリーズのPDFコレクション",523
"mitmath/18337","https://github.com/mitmath/18337","18.337 - Parallel Computing and Scientific Machine Learning",712
"Reputeless/Xoshiro-cpp","https://github.com/Reputeless/Xoshiro-cpp","Header-only Xoshiro/Xoroshiro PRNG wrapper library for modern C++ (C++17/C++20)",68
"akameco/pixiv-app-api","https://github.com/akameco/pixiv-app-api","Promise base pixiv API client",167
"bokuweb/lifegameboy","https://github.com/bokuweb/lifegameboy","🦀 Conway's Game of Life written in Rust on GameBoyAdvance",48
"acorn/twitter-bookmarks-search","https://github.com/acorn/twitter-bookmarks-search","WebExtension that adds ability search all your bookmarked tweets!",53
"soulmachine/machine-learning-cheat-sheet","https://github.com/soulmachine/machine-learning-cheat-sheet","Classical equations and diagrams in machine learning",3920
"onitama/OpenHSP","https://github.com/onitama/OpenHSP","Hot Soup Processor",91
"nagadomi/waifu2x","https://github.com/nagadomi/waifu2x","Image Super-Resolution for Anime-Style Art",20103
"lltcggie/waifu2x-caffe","https://github.com/lltcggie/waifu2x-caffe","waifu2xのCaffe版",5442
"jsvine/markovify","https://github.com/jsvine/markovify","A simple, extensible Markov chain generator.",2634
"yuiseki/twint-gyazo","https://github.com/yuiseki/twint-gyazo","Pythonで書かれた、Twitterの指定したユーザーの画像を全部Gyazoにアップロードするスクリプト",40
"koshian2/DeepCreamPyBook","https://github.com/koshian2/DeepCreamPyBook",,4
"danbooru/danbooru","https://github.com/danbooru/danbooru","A taggable image board written in Rails 6.",1024
"LandGrey/pydictor","https://github.com/LandGrey/pydictor","A powerful and useful hacker dictionary builder for a brute-force attack",1631
"violentmonkey/violentmonkey","https://github.com/violentmonkey/violentmonkey","Violentmonkey provides userscripts support for browsers. It works on browsers with WebExtensions support.",1832
"5ebec/arcard-template","https://github.com/5ebec/arcard-template","📇 AR Business Card Template",5
"Mottl/GetOldTweets3","https://github.com/Mottl/GetOldTweets3","A Python 3 library and a corresponding command line utility for accessing old tweets",307
"discord/discord-api-docs","https://github.com/discord/discord-api-docs","Official Discord API Documentation",2504
"wenyan-lang/wenyan","https://github.com/wenyan-lang/wenyan","文言文編程語言 A programming language for the ancient Chinese.",16854
"2SC1815J/ndldl_utils","https://github.com/2SC1815J/ndldl_utils","国立国会図書館デジタルコレクション閲覧画面向けユーザスクリプト（アドレスバーを現在表示中のコマのURLに更新など）",5
"taspinar/twitterscraper","https://github.com/taspinar/twitterscraper","Scrape Twitter for Tweets",1568
"bisguzar/twitter-scraper","https://github.com/bisguzar/twitter-scraper","Scrape the Twitter Frontend API without authentication.",2632
"twintproject/twint","https://github.com/twintproject/twint","An advanced Twitter scraping & OSINT tool written in Python that doesn't use Twitter's API, allowing you to scrape a user's followers, following, Tweets and more while evading most API limitations.",8843
"akameco/PixivDeck","https://github.com/akameco/PixivDeck",":two_hearts: pixiv client for Desktop like TweetDeck :two_hearts:",401
"Xdynix/PixivPixie","https://github.com/Xdynix/PixivPixie","User-friendly Pixiv API based on PixivPy",19
"kiwibrowser/android","https://github.com/kiwibrowser/android","This repository is archived, and is now transferred to https://github.com/kiwibrowser/src",567
"crclayton/Flat-50G","https://github.com/crclayton/Flat-50G","A modern skin for the emu48 HP-50G emulator. ",19
"dgis/emu48android","https://github.com/dgis/emu48android","Emu48 for Android",18
"mkizka/MTDeck","https://github.com/mkizka/MTDeck","TweetDeckをスマホアプリのように使えるようにするUserScript",7
"Rplus/Evangelion-Hexagon-style-calculator","https://github.com/Rplus/Evangelion-Hexagon-style-calculator","Evangelion Hexagon style calculator",2
"kgtkr/twitter-mute-sync","https://github.com/kgtkr/twitter-mute-sync",,2
"dutiyesh/chrome-extension-cli","https://github.com/dutiyesh/chrome-extension-cli","🚀 The CLI for your next Chrome Extension",516
"w3c/danmaku","https://github.com/w3c/danmaku","Bullet Chatting Proposal",204
"internetarchive/liveweb","https://github.com/internetarchive/liveweb","Liveweb proxy of the Wayback Machine project",33
"egotter/egotter","https://github.com/egotter/egotter","egotter",23
"CCharlieLi/bookmark-parser","https://github.com/CCharlieLi/bookmark-parser","Find and parse Firefox/Chrome bookmark HTML and jsonlz4 file into useable JSON object or export as JSON file.",30
"nagix/mini-tokyo-3d","https://github.com/nagix/mini-tokyo-3d","A real-time 3D digital map of Tokyo's public transport system",1398
"upbit/pixivpy","https://github.com/upbit/pixivpy","Pixiv API for Python",988
"jeffersonbailey/web-archive-apis-workshop","https://github.com/jeffersonbailey/web-archive-apis-workshop","Scripts and such for workshops on web archive APIs",4
"iipc/openwayback","https://github.com/iipc/openwayback","The OpenWayback Development",370
"EzoeRyou/cpp-intro","https://github.com/EzoeRyou/cpp-intro","Beginner's guide for C++",530
"bwmarrin/discordgo","https://github.com/bwmarrin/discordgo"," (Golang) Go bindings for Discord",1694
"kawax/headless-chrome-google-login","https://github.com/kawax/headless-chrome-google-login",,2
"dls/house","https://github.com/dls/house","Haskell Operating System",88
"Just-Some-Bots/MusicBot","https://github.com/Just-Some-Bots/MusicBot",":musical_note: The original MusicBot for Discord (formerly SexualRhinoceros/MusicBot)",2179
"geekodour/twitmarks","https://github.com/geekodour/twitmarks","Twitter Bookmarks for the Web and Desktop - Browser Extension",18
"nagataniyoshiki/FDTD_language_comparison","https://github.com/nagataniyoshiki/FDTD_language_comparison","2-D FDTD - Language Comparison",14
"shiguredo/momo","https://github.com/shiguredo/momo","WebRTC Native Client Momo",430
"dc1394/SchracVisualize_Direct3D_11","https://github.com/dc1394/SchracVisualize_Direct3D_11","「Schrac」などの計算結果のアウトプットファイルを読み込み、可視化するコードです",7
"bolero-MURAKAMI/Sprout","https://github.com/bolero-MURAKAMI/Sprout","C++11/14 constexpr based Containers, Algorithms, Random numbers, Parsing, Ray tracing, Synthesizer, and others.",710
"0918nobita/Portfolio","https://github.com/0918nobita/Portfolio","ポートフォリオ",6
"zhanrnl/PyMusAnim","https://github.com/zhanrnl/PyMusAnim","Clone of Stephen Malinowski's Music Animation Machine in Python",22
"ArchiveBox/ArchiveBox","https://github.com/ArchiveBox/ArchiveBox","🗃 The open source self-hosted web archive. Takes browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more...",7720
"sys-fork/helloworld_freestanding","https://github.com/sys-fork/helloworld_freestanding",,4
"joke2k/faker","https://github.com/joke2k/faker","Faker is a Python package that generates fake data for you.",11821
"internetarchive/wayback","https://github.com/internetarchive/wayback","IA's public Wayback Machine (moved from SourceForge)",421
"sunsetyuhi/fem_py","https://github.com/sunsetyuhi/fem_py","FEM programs written in Python 3.",6
"terjanq/JS-Alpha","https://github.com/terjanq/JS-Alpha","Funny project to create an encoder/obfuscator that converts any javascript code into a code that only consist of /[a-z().]/ characters",57
"pastpages/archiveis","https://github.com/pastpages/archiveis","A simple Python wrapper for the archive.is capturing service",133
"ShinyaKato/saizeriya-1000yen-knapsack","https://github.com/ShinyaKato/saizeriya-1000yen-knapsack","「サイゼリヤで1000円あれば最大何kcal摂れるのか」を動的計画法で解いてみた",12
"microsoft/SPTAG","https://github.com/microsoft/SPTAG","A distributed approximate nearest neighborhood search (ANN) library which provides a high quality vector index build, search and distributed online serving toolkits for large scale vector search scenario.",3838
"stewartmcgown/uds","https://github.com/stewartmcgown/uds","Unlimited Drive Storage by splitting binary files into base64",4112
"stefano/wasm-forth","https://github.com/stefano/wasm-forth","A Forth implementation compiling to WebAssembly.",85
"bartobri/no-more-secrets","https://github.com/bartobri/no-more-secrets","A command line tool that recreates the famous data decryption effect seen in the 1992 movie Sneakers.",4793
"oitofelix/8f-userrpl-kernel","https://github.com/oitofelix/8f-userrpl-kernel","8F UserRPL Kernel",2
"scala-text/scala_text","https://github.com/scala-text/scala_text","Scala学習用テキスト",438
"Kasugaccho/DungeonTemplateLibrary","https://github.com/Kasugaccho/DungeonTemplateLibrary","🌏: Dungeon free resources (terrain & roguelike generation)",553
"o2sh/onefetch","https://github.com/o2sh/onefetch","Git repository summary on your terminal",2725
"kenkoooo/AtCoderProblems","https://github.com/kenkoooo/AtCoderProblems","Extend your AtCoder",645
"jiro4989/textimg","https://github.com/jiro4989/textimg","Command to convert from color text (ANSI or 256) to image.",61
"busyloop/lolcat","https://github.com/busyloop/lolcat","Rainbows and unicorns!",4324
"pastpages/savepagenow","https://github.com/pastpages/savepagenow","A simple Python wrapper for archive.org's ""Save Page Now"" capturing service",89
"ArchiveTeam/ArchiveBot","https://github.com/ArchiveTeam/ArchiveBot","ArchiveBot, an IRC bot for archiving websites",204
"leftCoast/RPN_Calculator","https://github.com/leftCoast/RPN_Calculator","Code for the RPN Calculator",5
"ArchiveTeam/grab-site","https://github.com/ArchiveTeam/grab-site","The archivist's web crawler: WARC output, dashboard for all crawls, dynamic ignore patterns",650
"chakravala/Grassmann.jl","https://github.com/chakravala/Grassmann.jl","⟨Leibniz-Grassmann-Clifford⟩ differential geometric algebra / multivector simplicial complex",276
"yt8492/SeihekiAnalyzer","https://github.com/yt8492/SeihekiAnalyzer","DLsiteの購入履歴からあなたの性癖暴きます",61
"rust-embedded/rust-raspberrypi-OS-tutorials","https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials",":books: Learn to write an embedded OS in Rust :crab:",3038
"boricj/ripem","https://github.com/boricj/ripem","Native programming on HP Prime G1 the hard way",17
"FabioLolix/LinuxTimeline","https://github.com/FabioLolix/LinuxTimeline","Linux Distributions Timeline",606
"GitSquared/edex-ui","https://github.com/GitSquared/edex-ui","A cross-platform, customizable science fiction terminal emulator with advanced monitoring & touchscreen support.",27468
"egison/differential-geometry","https://github.com/egison/differential-geometry","Egison programs for basic calculations in differential geometry",5
"webrecorder/warcit","https://github.com/webrecorder/warcit","Convert Directories, Files and ZIP Files to Web Archives (WARC)",49
"greymd/cureutils","https://github.com/greymd/cureutils","Useful command line tool for Japanese battle heroine Pretty Cure (Precure).",45
"gtsiros/RPNET","https://github.com/gtsiros/RPNET","RPL implemented on .NET",5
"Rhizome-Conifer/conifer","https://github.com/Rhizome-Conifer/conifer","Collect and revisit web pages.",1242
"KeelyHill/tuppers-formula","https://github.com/KeelyHill/tuppers-formula","A small web app that allows the simple creation and decoding of Tupper's self-referential formula.",41
"aiekick/glsl-marching-cubes","https://github.com/aiekick/glsl-marching-cubes","WebGL Signed Distance Function Mesher",22
"Tyrrrz/DiscordChatExporter","https://github.com/Tyrrrz/DiscordChatExporter","Exports Discord chat logs to a file",1802
"theoremoon/ShellgeiBot","https://github.com/theoremoon/ShellgeiBot","シェル芸を実行しちゃう危険なbot",118
"yhay81/ja-translation-todo","https://github.com/yhay81/ja-translation-todo","日本語への翻訳でコントリビュートできるGitHubのリポジトリリスト",27
"relarar/Blender-AnimeHairSupporter","https://github.com/relarar/Blender-AnimeHairSupporter","Blender用のアニメ髪作成支援アドオン",68
"Taremin/Blender-AnimeHairSupporter","https://github.com/Taremin/Blender-AnimeHairSupporter","Blender用のアニメ髪作成支援アドオン",22
"oduwsdl/ipwb","https://github.com/oduwsdl/ipwb","InterPlanetary Wayback: A distributed and persistent archive replay system using IPFS",330
"prasmussen/gdrive","https://github.com/prasmussen/gdrive","Google Drive CLI Client",6897
"trycycle/wikipedia-downloader","https://github.com/trycycle/wikipedia-downloader","A Python script for downloading Wikipedia data dump files",1
"ciffelia/EgoSearcher","https://github.com/ciffelia/EgoSearcher",,3
"WikiTeam/wikiteam","https://github.com/WikiTeam/wikiteam","Tools for downloading and preserving wikis. We archive wikis, from Wikipedia to tiniest wikis. As of 2020, WikiTeam has preserved more than 250,000 wikis.",382
"ciffelia/Rotatter","https://github.com/ciffelia/Rotatter","Rotate your Twitter icon!",3
"hamukazu/lets-get-arrested","https://github.com/hamukazu/lets-get-arrested","This project is intended to protest against the police in Japan",3702
"heilingbrunner/vscode-hp42s-free42","https://github.com/heilingbrunner/vscode-hp42s-free42","Language support for HP42S/free42 programming language.",7
"torobomath/benchmark","https://github.com/torobomath/benchmark",,4
"rockdaboot/wget2","https://github.com/rockdaboot/wget2","The successor of GNU Wget. Contributions preferred at https://gitlab.com/gnuwget/wget2. But accepted here as well 😍",194
"taba256/nicoseiga-download","https://github.com/taba256/nicoseiga-download","ニコニコ静画(マンガ)の作品を、zipファイルに圧縮してダウンロードできます。",5
"internetarchive/heritrix3","https://github.com/internetarchive/heritrix3","Heritrix is the Internet Archive's open-source, extensible, web-scale, archival-quality web crawler project.  ",1860
"iipc/awesome-web-archiving","https://github.com/iipc/awesome-web-archiving","An Awesome List for getting started with web archiving",793
"EbookFoundation/free-programming-books","https://github.com/EbookFoundation/free-programming-books",":books: Freely available programming books",169886
"netdata/netdata","https://github.com/netdata/netdata","Real-time performance monitoring, done right! https://www.netdata.cloud",50569
"tldr-pages/tldr","https://github.com/tldr-pages/tldr","📚 Collaborative cheatsheets for console commands",29889
"ilia-luk/pimpMyVscodeTerminal","https://github.com/ilia-luk/pimpMyVscodeTerminal","Pimp my vscode terminal with tmux sessions",3
"zettsu-t/cPlusPlusFriend","https://github.com/zettsu-t/cPlusPlusFriend","The programmer-tan bot",7
"erikw/tmux-powerline","https://github.com/erikw/tmux-powerline","Statusbar configuration for tmux that looks like vim-powerline and consist of dynamic segments.",2721
"xtrm0/XtrmCAS","https://github.com/xtrm0/XtrmCAS","A computer algebra system in C",6
"rastapasta/mapscii","https://github.com/rastapasta/mapscii","🗺  MapSCII is a Braille & ASCII world map renderer for your console - enter => telnet mapscii.me <= on Mac and Linux, connect with PuTTY on Windows",4821
"NVIDIAGameWorks/PhysX-3.4","https://github.com/NVIDIAGameWorks/PhysX-3.4","NVIDIA PhysX SDK 3.4",2173
"be5invis/vscode-custom-css","https://github.com/be5invis/vscode-custom-css","Custom CSS Plugin for Visual Studio Code. Based on vscode-icon",507
"hironobu-s/conoha-ojs","https://github.com/hironobu-s/conoha-ojs","CLI-tool for ConoHa Object Storage",33
"allanino/sci-hub-fy","https://github.com/allanino/sci-hub-fy","Chrome extension to append sci-hub.org to tab domain.",369
"rayfill/wwwdll","https://github.com/rayfill/wwwdll",,1
"CloudRemix/geocities","https://github.com/CloudRemix/geocities","Geocities URL List",5
"wizardbible/wizardbible.github.io","https://github.com/wizardbible/wizardbible.github.io","Hack, Crack, Reverse engineering and so on...",25
"koike/hsp.rtm","https://github.com/koike/hsp.rtm","Visual Studio Code Extension for Real-Time Debugging in HSP",14
"kaityo256/sevendayshpc","https://github.com/kaityo256/sevendayshpc","一週間でなれる！スパコンプログラマ",238
"tenpoku1000/tenpoku-book","https://github.com/tenpoku1000/tenpoku-book","電子書籍： x64 UEFI 対応 OS 自作入門 https://tenpoku1000.gitbook.io/tenpoku-book/",37
"cambecc/air","https://github.com/cambecc/air","a project to visualize Tokyo wind and air pollutants",413
"DV8FromTheWorld/JDA","https://github.com/DV8FromTheWorld/JDA","Java wrapper for the popular chat & VOIP service: Discord https://discord.com",1752
"jagrosh/MusicBot","https://github.com/jagrosh/MusicBot","🎶 A Discord music bot that's easy to set up and run yourself!",1019
"JDA-Applications/JDA-Utilities","https://github.com/JDA-Applications/JDA-Utilities","A series of tools and utilities for JDA to assist in bot creation",140
"typelevel/cats","https://github.com/typelevel/cats","Lightweight, modular, and extensible library for functional programming.",4157
"comp-prog-jp-library-standard/competitive-programming-library","https://github.com/comp-prog-jp-library-standard/competitive-programming-library","競技プログラミング用共通ライブラリ",46
"yosukesakai/guideline_for_procedure_of_open_project","https://github.com/yosukesakai/guideline_for_procedure_of_open_project",,12
"FinalTheory/Calculator","https://github.com/FinalTheory/Calculator","计算方法考试专用插件",5
